p, admin, neighbor, create
p, admin, neighbor, read
p, admin, neighbor, update
p, admin, neighbor, delete
p, admin, stuff, create
p, admin, stuff, read
p, admin, stuff, update
p, admin, stuff, delete

p, operator, neighbor, read
p, operator, neighbor, update
p, operator, neighbor, create
p, operator, stuff, read
p, operator, stuff, update
p, operator, stuff, create

p, viewer, neighbor, read
p, viewer, stuff, read

g, admin@duckburg.com, admin
g, operator@duckburg.com, operator
g, viewer@duckburg.com, viewer
